 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 03, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\17N_CD2.txt.txt

 Ion = Nitrogen [7] , Mass = 17 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.812E-01  6.930E+00       2 A         1 A           A   
    1.2 eV    8.812E-01  7.310E+00       2 A         1 A         1 A   
    1.3 eV    9.172E-01  7.677E+00       2 A         1 A         1 A   
    1.4 eV    9.519E-01  8.031E+00       2 A         1 A         1 A   
    1.5 eV    9.853E-01  8.374E+00       3 A         1 A         1 A   
    1.6 eV    1.018E+00  8.706E+00       3 A         1 A         1 A   
    1.7 eV    1.049E+00  9.030E+00       3 A         1 A         1 A   
    1.8 eV    1.079E+00  9.345E+00       3 A         1 A         1 A   
      2 eV    1.138E+00  9.951E+00       3 A         1 A         1 A   
   2.25 eV    1.207E+00  1.067E+01       3 A         1 A         1 A   
2.49999 eV    1.272E+00  1.135E+01       3 A         1 A         1 A   
2.74999 eV    1.334E+00  1.200E+01       3 A         1 A         1 A   
2.99999 eV    1.393E+00  1.263E+01       3 A         1 A         1 A   
3.24999 eV    1.450E+00  1.323E+01       4 A         2 A         1 A   
3.49999 eV    1.505E+00  1.380E+01       4 A         2 A         1 A   
3.74999 eV    1.558E+00  1.436E+01       4 A         2 A         1 A   
3.99999 eV    1.609E+00  1.490E+01       4 A         2 A         1 A   
4.49999 eV    1.707E+00  1.592E+01       4 A         2 A         1 A   
4.99999 eV    1.799E+00  1.689E+01       4 A         2 A         1 A   
