 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 15, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CD2.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.673E+01  7.599E-01    2239 A       464 A       506 A   
  11.00 keV   5.917E+01  7.093E-01    2399 A       476 A       524 A   
  12.00 keV   6.145E+01  6.658E-01    2554 A       485 A       541 A   
  13.00 keV   6.359E+01  6.279E-01    2704 A       494 A       556 A   
  14.00 keV   6.559E+01  5.944E-01    2850 A       503 A       570 A   
  15.00 keV   6.748E+01  5.648E-01    2993 A       510 A       584 A   
  16.00 keV   6.926E+01  5.382E-01    3132 A       517 A       596 A   
  17.00 keV   7.094E+01  5.143E-01    3268 A       523 A       608 A   
  18.00 keV   7.252E+01  4.926E-01    3401 A       529 A       619 A   
  20.00 keV   7.543E+01  4.548E-01    3661 A       541 A       640 A   
  22.50 keV   7.865E+01  4.156E-01    3974 A       554 A       663 A   
  25.00 keV   8.145E+01  3.833E-01    4277 A       565 A       684 A   
  27.50 keV   8.391E+01  3.560E-01    4571 A       575 A       703 A   
  30.00 keV   8.605E+01  3.327E-01    4857 A       584 A       721 A   
  32.50 keV   8.793E+01  3.125E-01    5138 A       593 A       737 A   
  35.00 keV   8.956E+01  2.948E-01    5413 A       600 A       753 A   
  37.50 keV   9.099E+01  2.791E-01    5685 A       608 A       767 A   
  40.00 keV   9.223E+01  2.652E-01    5953 A       615 A       781 A   
